                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6555,                 4.0985,                 1.5347,                0.61622,                0.43544,                0.35272,                0.26092,                 1.1087,                 6.6422,                 1.0769,               5.72e-05,               5.72e-05,               5.72e-05
                      2,                0.99131,                 1.8048,                 1.0713,                0.62876,                0.77675,                0.71026,                 0.5008,                 1.0139,                 2.8099,                 1.0003,              0.0001161,              0.0001161,              0.0001161
                      3,                0.86577,                  1.164,                0.98497,                0.72461,                0.82773,                0.80035,                0.58897,                0.88208,                 1.1563,                0.94801,             0.00017381,             0.00017381,             0.00017381
                      4,                0.85432,                 1.0269,                0.97281,                0.70457,                  0.851,                0.87935,                0.67387,                0.87613,                 1.1305,                 0.9326,             0.00023033,             0.00023033,             0.00023033
                      5,                0.86709,                0.91787,                0.97092,                0.81356,                0.95305,                0.96246,                0.76145,                0.84001,                0.79409,                0.93343,             0.00027467,             0.00027467,             0.00027467
                      6,                0.84413,                0.84387,                0.95891,                0.86535,                0.91738,                0.95568,                0.69975,                  0.952,                 0.7322,                0.96492,             0.00027184,             0.00027184,             0.00027184
                      7,                0.81103,                0.72954,                 0.9491,                 0.7208,                0.93058,                0.89687,                0.67555,                  0.865,                0.80794,                0.93404,             0.00026901,             0.00026901,             0.00026901
                      8,                0.80119,                0.73851,                0.95337,                0.80044,                0.96869,                0.96195,                 0.7251,                0.87379,                0.59002,                0.94688,             0.00026618,             0.00026618,             0.00026618
                      9,                0.80173,                0.67778,                0.94053,                0.86672,                0.93263,                0.95405,                0.73089,                0.84732,                0.58272,                0.93102,             0.00026335,             0.00026335,             0.00026335
                     10,                0.78513,                0.65422,                0.94231,                0.87441,                0.91319,                0.94614,                0.73919,                0.83925,                0.66289,                0.92748,             0.00026052,             0.00026052,             0.00026052
                     11,                0.77484,                0.65135,                0.93944,                0.85979,                0.92868,                0.94335,                0.74382,                0.81313,                0.57234,                0.89875,             0.00025769,             0.00025769,             0.00025769
                     12,                0.78416,                0.66573,                0.94582,                0.78682,                0.92839,                0.96199,                 0.7604,                0.82068,                0.65869,                0.90067,             0.00025485,             0.00025485,             0.00025485
                     13,                0.78592,                0.59302,                0.95256,                0.90019,                0.94148,                0.96602,                0.76795,                0.80445,                0.50473,                0.89222,             0.00025202,             0.00025202,             0.00025202
                     14,                0.76208,                0.60294,                0.93645,                 0.7859,                0.89722,                0.91453,                0.72784,                0.79808,                0.82514,                 0.9067,             0.00024919,             0.00024919,             0.00024919
                     15,                0.75385,                0.58532,                 0.9287,                0.88041,                0.94204,                0.95976,                0.75463,                0.79244,                0.55724,                0.89235,             0.00024636,             0.00024636,             0.00024636
                     16,                0.74444,                 0.5735,                0.92501,                0.88694,                 0.9539,                0.96687,                0.76197,                 0.7965,                0.53144,                0.89695,             0.00024353,             0.00024353,             0.00024353
                     17,                0.75416,                0.59091,                  0.933,                0.87393,                0.93243,                0.91972,                0.74193,                0.79399,                0.64033,                0.89378,              0.0002407,              0.0002407,              0.0002407
                     18,                0.73396,                0.53728,                0.92392,                0.89381,                0.91244,                0.90083,                0.71416,                0.80811,                0.61281,                0.90811,             0.00023787,             0.00023787,             0.00023787
